DATE,A939RX0Q048SBEA
1947-04-01,-0.71765
1947-07-01,-0.65906
1947-10-01,1.09145
1948-01-01,1.09378
1948-04-01,1.24948
1948-07-01,0.13788
1948-10-01,-0.35112
1949-01-01,-1.81014
1949-04-01,-0.73881
1949-07-01,0.60254
1949-10-01,-1.28946
1950-01-01,3.50489
1950-04-01,2.68276
1950-07-01,3.41863
1950-10-01,1.46123
1951-01-01,0.93452
1951-04-01,1.33173
1951-07-01,1.59584
1951-10-01,-0.25872
1952-01-01,0.66082
1952-04-01,-0.17179
1952-07-01,0.28271
1952-10-01,2.81302
1953-01-01,1.48426
1953-04-01,0.39941
1953-07-01,-1.01211
1953-10-01,-1.97400
1954-01-01,-0.90438
1954-04-01,-0.29813
1954-07-01,0.66516
1954-10-01,1.46096
1955-01-01,2.43174
1955-04-01,1.21909
1955-07-01,0.89322
1955-10-01,0.11423
1956-01-01,-0.79872
1956-04-01,0.41983
1956-07-01,-0.55552
1956-10-01,1.14029
1957-01-01,0.18791
1957-04-01,-0.62518
1957-07-01,0.53188
1957-10-01,-1.48481
1958-01-01,-2.95663
1958-04-01,0.26778
1958-07-01,1.87537
1958-10-01,1.86415
1959-01-01,1.48118
1959-04-01,1.85968
1959-07-01,-0.35408
1959-10-01,-0.15546
1960-01-01,1.64600
1960-04-01,-1.13245
1960-07-01,-0.01107
1960-10-01,-1.67128
1961-01-01,0.33769
1961-04-01,1.30693
1961-07-01,1.49493
1961-10-01,1.52201
1962-01-01,1.42397
1962-04-01,0.55099
1962-07-01,0.83777
1962-10-01,-0.07315
1963-01-01,0.75821
1963-04-01,0.79402
1963-07-01,1.81238
1963-10-01,0.26803
1964-01-01,1.79049
1964-04-01,0.76801
1964-07-01,1.19487
1964-10-01,-0.04373
1965-01-01,2.13893
1965-04-01,0.98996
1965-07-01,1.88039
1965-10-01,1.97058
1966-01-01,2.18200
1966-04-01,0.07991
1966-07-01,0.53675
1966-10-01,0.51182
1967-01-01,0.64091
1967-04-01,-0.18756
1967-07-01,0.66425
1967-10-01,0.47319
1968-01-01,1.82337
1968-04-01,1.43851
1968-07-01,0.50199
1968-10-01,0.12071
1969-01-01,1.35528
1969-04-01,0.07793
1969-07-01,0.37706
1969-10-01,-0.77988
1970-01-01,-0.39506
1970-04-01,-0.16939
1970-07-01,0.57940
1970-10-01,-1.41135
1971-01-01,2.39983
1971-04-01,0.25270
1971-07-01,0.51226
1971-10-01,-0.07281
1972-01-01,1.59482
1972-04-01,2.02797
1972-07-01,0.68338
1972-10-01,1.40790
1973-01-01,2.25273
1973-04-01,0.86404
1973-07-01,-0.77134
1973-10-01,0.70259
1974-01-01,-1.06138
1974-04-01,0.02251
1974-07-01,-1.19628
1974-10-01,-0.64523
1975-01-01,-1.41727
1975-04-01,0.47276
1975-07-01,1.41160
1975-10-01,1.08390
1976-01-01,2.03168
1976-04-01,0.51993
1976-07-01,0.28980
1976-10-01,0.45722
1977-01-01,0.94669
1977-04-01,1.69889
1977-07-01,1.51800
1977-10-01,-0.27950
1978-01-01,0.08408
1978-04-01,3.60206
1978-07-01,0.70956
1978-10-01,1.05012
1979-01-01,-0.07636
1979-04-01,-0.15284
1979-07-01,0.43927
1979-10-01,-0.05964
1980-01-01,0.03315
1980-04-01,-2.33313
1980-07-01,-0.41737
1980-10-01,1.58790
1981-01-01,1.75091
1981-04-01,-0.96588
1981-07-01,0.92204
1981-10-01,-1.34569
1982-01-01,-1.76189
1982-04-01,0.23482
1982-07-01,-0.63831
1982-10-01,-0.20502
1983-01-01,1.11282
1983-04-01,2.06570
1983-07-01,1.74851
1983-10-01,1.84563
1984-01-01,1.76096
1984-04-01,1.52283
1984-07-01,0.71590
1984-10-01,0.57850
1985-01-01,0.78015
1985-04-01,0.66786
1985-07-01,1.26655
1985-10-01,0.49135
1986-01-01,0.73490
1986-04-01,0.23828
1986-07-01,0.70726
1986-10-01,0.29724
1987-01-01,0.54913
1987-04-01,0.86688
1987-07-01,0.61879
1987-10-01,1.46628
1988-01-01,0.31708
1988-04-01,1.10207
1988-07-01,0.32370
1988-10-01,1.08102
1989-01-01,0.81574
1989-04-01,0.53582
1989-07-01,0.46298
1989-10-01,-0.07502
1990-01-01,0.86339
1990-04-01,0.05051
1990-07-01,-0.28430
1990-10-01,-1.26036
1991-01-01,-0.77450
1991-04-01,0.45963
1991-07-01,0.14890
1991-10-01,0.00541
1992-01-01,0.90012
1992-04-01,0.74743
1992-07-01,0.61691
1992-10-01,0.69505
1993-01-01,-0.12860
1993-04-01,0.27593
1993-07-01,0.13628
1993-10-01,1.03638
1994-01-01,0.69937
1994-04-01,1.05978
1994-07-01,0.25962
1994-10-01,0.83778
1995-01-01,0.08560
1995-04-01,0.01509
1995-07-01,0.52565
1995-10-01,0.37029
1996-01-01,0.49854
1996-04-01,1.37907
1996-07-01,0.57006
1996-10-01,0.71766
1997-01-01,0.37922
1997-04-01,1.37158
1997-07-01,0.91626
1997-10-01,0.54335
1998-01-01,0.74161
1998-04-01,0.65023
1998-07-01,0.93674
1998-10-01,1.30977
1999-01-01,0.69042
1999-04-01,0.55796
1999-07-01,1.00276
1999-10-01,1.33698
2000-01-01,0.11103
2000-04-01,1.56797
2000-07-01,-0.17129
2000-10-01,0.32816
2001-01-01,-0.55155
