Name,Geography Type,Year,Resident Population,Percent Change in Resident Population,Resident Population Density,Resident Population Density Rank,Number of Representatives,Change in Number of Representatives,Average Apportionment Population Per Representative
ALABAMA,State,1910,2138093.00,16.9,42.2,25,10,1,"213,809"
ALASKA,State,1910,64356.00,1.2,0.1,52,,,
ARIZONA,State,1910,204354.00,66.2,1.8,49,,,
ARKANSAS,State,1910,1574449.00,20,30.3,30,7,0,"224,921"
CALIFORNIA,State,1910,2377549.00,60.1,15.3,38,11,3,"216,051"
COLORADO,State,1910,799024.00,48,7.7,42,4,1,"199,643"
CONNECTICUT,State,1910,1114756.00,22.7,230.2,6,5,0,"222,951"
DELAWARE,State,1910,202322.00,9.5,103.8,11,1,0,"202,322"
DISTRICT OF COLUMBIA,State,1910,331069.00,18.8,"5,423.10",1,,,
FLORIDA,State,1910,752619.00,42.4,14,40,4,1,"188,155"
GEORGIA,State,1910,2609121.00,17.7,45.4,23,12,1,"217,427"
HAWAII,State,1910,191909.00,24.6,29.9,31,,,
IDAHO,State,1910,325594.00,101.3,3.9,46,2,1,"161,720"
ILLINOIS,State,1910,5638591.00,16.9,101.6,12,27,2,"208,837"
INDIANA,State,1910,2700876.00,7.3,75.4,13,13,0,"207,760"
IOWA,State,1910,2224771.00,-0.3,39.8,26,11,0,"202,252"
KANSAS,State,1910,1690949.00,15,20.7,35,8,0,"211,369"
KENTUCKY,State,1910,2289905.00,6.6,58,14,11,0,"208,173"
LOUISIANA,State,1910,1656388.00,19.9,38.3,29,8,1,"207,049"
MAINE,State,1910,742371.00,6.9,24.1,33,4,0,"185,593"
MARYLAND,State,1910,1295346.00,9,133.4,9,6,0,"215,891"
MASSACHUSETTS,State,1910,3366416.00,20,431.6,3,16,2,"210,401"
MICHIGAN,State,1910,2810173.00,16.1,49.7,19,13,1,"216,167"
MINNESOTA,State,1910,2075708.00,18.5,26.1,32,10,1,"207,438"
MISSISSIPPI,State,1910,1797114.00,15.8,38.3,28,8,0,"224,639"
MISSOURI,State,1910,3293335.00,6,47.9,21,16,0,"205,833"
MONTANA,State,1910,376053.00,54.5,2.6,48,2,1,"183,169"
NEBRASKA,State,1910,1192214.00,11.8,15.5,37,6,0,"198,702"
NEVADA,State,1910,81875.00,93.4,0.7,51,1,0,"80,293"
NEW HAMPSHIRE,State,1910,430572.00,4.6,48.1,20,2,0,"215,286"
NEW JERSEY,State,1910,2537167.00,34.7,345,4,12,2,"211,431"
NEW MEXICO,State,1910,327301.00,67.6,2.7,47,,,
NEW YORK,State,1910,9113614.00,25.4,193.4,7,43,6,"211,836"
NORTH CAROLINA,State,1910,2206287.00,16.5,45.4,22,10,0,"220,629"
NORTH DAKOTA,State,1910,577056.00,80.8,8.4,41,3,1,"191,468"
OHIO,State,1910,4767121.00,14.7,116.7,10,22,1,"216,687"
OKLAHOMA,State,1910,1657155.00,109.7,24.2,33,8,8,"207,144"
OREGON,State,1910,672765.00,62.7,7,44,3,1,"224,255"
PENNSYLVANIA,State,1910,7665111.00,21.6,171.3,8,36,4,"212,920"
PUERTO RICO,State,1910,1118012.00,17.3,326.5,5,,,
RHODE ISLAND,State,1910,542610.00,26.6,524.9,2,3,1,"180,870"
SOUTH CAROLINA,State,1910,1515400.00,13.1,50.4,18,7,0,"216,486"
SOUTH DAKOTA,State,1910,583888.00,45.4,7.7,42,3,1,"191,892"
TENNESSEE,State,1910,2184789.00,8.1,53,15,10,0,"218,479"
TEXAS,State,1910,3896542.00,27.8,14.9,39,18,2,"216,475"
UTAH,State,1910,373351.00,34.9,4.5,45,2,1,"185,932"
VERMONT,State,1910,355956.00,3.6,38.6,27,2,0,"177,978"
VIRGINIA,State,1910,2061612.00,11.2,52.2,16,10,0,"206,161"
WASHINGTON,State,1910,1141990.00,120.4,17.2,36,5,2,"228,027"
WEST VIRGINIA,State,1910,1221119.00,27.4,50.8,17,6,1,"203,520"
WISCONSIN,State,1910,2333860.00,12.8,43.1,24,11,0,"212,078"
WYOMING,State,1910,145965.00,57.7,1.5,50,1,0,"144,658"
MIDWEST REGION,Region,1910,29888542.00,13.5,,,,,
NORTHEAST REGION,Region,1910,25868573.00,22.9,,,,,
SOUTH REGION,Region,1910,29389330.00,19.8,,,,,
WEST REGION,Region,1910,7082086.00,64.4,,,,,
UNITED STATES,Nation,1910,92228531.00,21,26,,433,47,"210,328"
ALABAMA,State,1920,2348174.00,9.8,46.4,25,10,0,"234,817"
ALASKA,State,1920,55036.00,-14.5,0.1,52,,,
ARIZONA,State,1920,334162.00,63.5,2.9,49,1,1,"309,495"
ARKANSAS,State,1920,1752204.00,11.3,33.7,31,7,0,"250,315"
CALIFORNIA,State,1920,3426861.00,44.1,22,35,11,0,"311,457"
COLORADO,State,1920,939629.00,17.6,9.1,42,4,0,"234,790"
