year,Growth,G,quarter
1947,-0.71765,-0.095086667,1
1947,-0.65906,0.508723333,2
1947,1.09145,1.144903333,3
1948,1.09378,0.827046667,1
1948,1.24948,0.345413333,2
1948,0.13788,-0.67446,3
1948,-0.35112,-0.96669,4
1949,-1.81014,-0.648803333,1
1949,-0.73881,-0.475243333,2
1949,0.60254,0.939323333,3
1949,-1.28946,1.63273,4
1950,3.50489,3.202093333,1
1950,2.68276,2.520873333,2
1950,3.41863,1.938126667,3
1950,1.46123,1.242493333,4
1951,0.93452,1.287363333,1
1951,1.33173,0.889616667,2
1951,1.59584,0.66598,3
1951,-0.25872,0.07677,4
1952,0.66082,0.257246667,1
1952,-0.17179,0.974646667,2
1952,0.28271,1.526663333,3
1952,2.81302,1.565563333,4
1953,1.48426,0.29052,1
1953,0.39941,-0.862233333,2
1953,-1.01211,-1.29683,3
1953,-1.974,-1.058836667,4
1954,-0.90438,-0.179116667,1
1954,-0.29813,0.60933,2
1954,0.66516,1.519286667,3
1954,1.46096,1.70393,4
1955,2.43174,1.514683333,1
1955,1.21909,0.74218,2
1955,0.89322,0.069576667,3
1955,0.11423,-0.08822,4
1956,-0.79872,-0.31147,1
1956,0.41983,0.334866667,2
1956,-0.55552,0.25756,3
1956,1.14029,0.23434,4
1957,0.18791,0.031536667,1
1957,-0.62518,-0.526036667,2
1957,0.53188,-1.303186667,3
1957,-1.48481,-1.39122,4
1958,-2.95663,-0.27116,1
1958,0.26778,1.335766667,2
1958,1.87537,1.740233333,3
1958,1.86415,1.735003333,4
1959,1.48118,0.995593333,1
1959,1.85968,0.450046667,2
1959,-0.35408,0.37882,3
1959,-0.15546,0.119363333,4
1960,1.646,0.167493333,1
1960,-1.13245,-0.938266667,2
1960,-0.01107,-0.44822,3
1960,-1.67128,-0.008886667,4
1961,0.33769,1.046516667,1
1961,1.30693,1.44129,2
1961,1.49493,1.480303333,3
1961,1.52201,1.165656667,4
1962,1.42397,0.937576667,1
1962,0.55099,0.438536667,2
1962,0.83777,0.50761,3
1962,-0.07315,0.493026667,4
1963,0.75821,1.121536667,1
1963,0.79402,0.958143333,2
1963,1.81238,1.2903,3
1963,0.26803,0.942176667,4
1964,1.79049,1.251123333,1
1964,0.76801,0.639716667,2
1964,1.19487,1.09669,3
1964,-0.04373,1.028386667,4
1965,2.13893,1.66976,1
1965,0.98996,1.613643333,2
1965,1.88039,2.01099,3
1965,1.97058,1.41083,4
1966,2.182,0.932886667,1
1966,0.07991,0.37616,2
1966,0.53675,0.56316,3
1966,0.51182,0.321723333,4
1967,0.64091,0.372533333,1
1967,-0.18756,0.316626667,2
1967,0.66425,0.986936667,3
1967,0.47319,1.245023333,4
1968,1.82337,1.254623333,1
1968,1.43851,0.68707,2
1968,0.50199,0.659326667,3
1968,0.12071,0.517973333,4
1969,1.35528,0.603423333,1
1969,0.07793,-0.108296667,2
1969,0.37706,-0.26596,3
1969,-0.77988,-0.44811,4
1970,-0.39506,0.004983333,1
1970,-0.16939,-0.33378,2
1970,0.5794,0.522626667,3
1970,-1.41135,0.413726667,4
1971,2.39983,1.05493,1
1971,0.2527,0.230716667,2
1971,0.51226,0.67809,3
1971,-0.07281,1.183326667,4
1972,1.59482,1.43539,1
1972,2.02797,1.373083333,2
1972,0.68338,1.448003333,3
1972,1.4079,1.508223333,4
1973,2.25273,0.78181,1
1973,0.86404,0.265096667,2
1973,-0.77134,-0.37671,3
1973,0.70259,-0.112093333,4
1974,-1.06138,-0.74505,1
1974,0.02251,-0.606333333,2
1974,-1.19628,-1.08626,3
1974,-0.64523,-0.529913333,4
1975,-1.41727,0.155696667,1
1975,0.47276,0.98942,2
1975,1.4116,1.50906,3
1975,1.0839,1.211836667,4
1976,2.03168,0.947136667,1
1976,0.51993,0.422316667,2
1976,0.2898,0.56457,3
1976,0.45722,1.034266667,4
1977,0.94669,1.38786,1
1977,1.69889,0.97913,2
1977,1.518,0.44086,3
1977,-0.2795,1.135546667,4
1978,0.08408,1.465233333,1
1978,3.60206,1.787246667,2
1978,0.70956,0.561106667,3
1978,1.05012,0.27364,4
1979,-0.07636,0.070023333,1
1979,-0.15284,0.075596667,2
1979,0.43927,0.137593333,3
1979,-0.05964,-0.78654,4
1980,0.03315,-0.905783333,1
1980,-2.33313,-0.387533333,2
1980,-0.41737,0.973813333,3
1980,1.5879,0.790976667,4
1981,1.75091,0.569023333,1
1981,-0.96588,-0.463176667,2
1981,0.92204,-0.728513333,3
1981,-1.34569,-0.957586667,4
1982,-1.76189,-0.721793333,1
1982,0.23482,-0.202836667,2
1982,-0.63831,0.08983,3
1982,-0.20502,0.991166667,4
1983,1.11282,1.642343333,1
1983,2.0657,1.886613333,2
1983,1.74851,1.785033333,3
1983,1.84563,1.709806667,4
1984,1.76096,1.33323,1
1984,1.52283,0.939076667,2
1984,0.7159,0.691516667,3
1984,0.5785,0.675503333,4
1985,0.78015,0.904853333,1
1985,0.66786,0.808586667,2
1985,1.26655,0.830933333,3
1985,0.49135,0.488176667,4
1986,0.7349,0.560146667,1
1986,0.23828,0.41426,2
1986,0.70726,0.517876667,3
1986,0.29724,0.571083333,4
1987,0.54913,0.678266667,1
1987,0.86688,0.983983333,2
1987,0.61879,0.800716667,3
1987,1.46628,0.96181,4
1988,0.31708,0.58095,1
1988,1.10207,0.835596667,2
1988,0.3237,0.740153333,3
1988,1.08102,0.81086,4
1989,0.81574,0.604846667,1
1989,0.53582,0.307926667,2
1989,0.46298,0.417116667,3
1989,-0.07502,0.279626667,4
1990,0.86339,0.209866667,1
1990,0.05051,-0.49805,2
1990,-0.2843,-0.773053333,3
1990,-1.26036,-0.525076667,4
1991,-0.7745,-0.055323333,1
1991,0.45963,0.204646667,2
1991,0.1489,0.351476667,3
1991,0.00541,0.550986667,4
1992,0.90012,0.75482,1
1992,0.74743,0.686463333,2
1992,0.61691,0.394453333,3
1992,0.69505,0.280793333,4
1993,-0.1286,0.094536667,1
1993,0.27593,0.482863333,2
1993,0.13628,0.62401,3
1993,1.03638,0.931843333,4
1994,0.69937,0.672923333,1
1994,1.05978,0.71906,2
1994,0.25962,0.394333333,3
1994,0.83778,0.312823333,4
1995,0.0856,0.20878,1
1995,0.01509,0.303676667,2
1995,0.52565,0.464826667,3
1995,0.37029,0.7493,4
1996,0.49854,0.81589,1
1996,1.37907,0.88893,2
1996,0.57006,0.555646667,3
1996,0.71766,0.82282,4
1997,0.37922,0.88902,1
1997,1.37158,0.94373,2
1997,0.91626,0.73374,3
1997,0.54335,0.645063333,4
1998,0.74161,0.776193333,1
1998,0.65023,0.96558,2
1998,0.93674,0.978976667,3
1998,1.30977,0.852716667,4
1999,0.69042,0.75038,1
1999,0.55796,0.9659,2
1999,1.00276,0.816923333,3
1999,1.33698,1.005326667,4
2000,0.11103,0.50257,1
2000,1.56797,0.574946667,2
2000,-0.17129,-0.13156,3
2000,0.32816,0.0538,4
2001,-0.55155,-0.27544,1
2001,0.38479,-0.084403333,2
2001,-0.65956,-0.009363333,3
2001,0.02156,0.34116,4
2002,0.60991,0.38376,1
2002,0.39201,0.142816667,2
2002,0.14936,0.11453,3
2002,-0.11292,0.28802,4
2003,0.30715,0.797403333,1
2003,0.66983,0.99911,2
2003,1.41523,0.901736667,3
2003,0.91227,0.616423333,4
2004,0.37771,0.542713333,1
2004,0.55929,0.674036667,2
2004,0.69114,0.786526667,3
2004,0.77168,0.64669,4
2005,0.89676,0.566076667,1
2005,0.27163,0.37217,2
2005,0.52984,0.657563333,3
2005,0.31504,0.48746,4
2006,1.12781,0.346646667,1
2006,0.01953,0.166193333,2
2006,-0.1074,0.183653333,3
2006,0.58645,0.35734,4
2007,0.07191,0.275966667,1
2007,0.41366,0.370213333,2
2007,0.34233,0.023616667,3
2007,0.35465,0.027403333,4
2008,-0.62613,-0.347603333,1
2008,0.35369,-0.942416667,2
2008,-0.77037,-1.515753333,3
2008,-2.41057,-1.38398,4
2009,-1.36632,-0.536603333,1
2009,-0.37505,0.197103333,2
2009,0.13156,0.42235,3
2009,0.8348,0.636976667,4
2010,0.30069,0.54513,1
2010,0.77544,0.54548,2
2010,0.55926,0.1474,3
2010,0.30174,0.12618,4
2011,-0.4188,-0.05823,1
2011,0.4956,0.38536,2
2011,-0.25149,0.432916667,3
2011,0.91197,0.609196667,4
2012,0.63827,0.293603333,1
2012,0.27735,0.0486,2
2012,-0.03481,0.191136667,3
2012,-0.09674,0.192483333,4
2013,0.70496,0.418386667,1
2013,-0.03077,0.34916,2
2013,0.58097,0.183056667,3
2013,0.49728,0.355476667,4
2014,-0.52908,0.505133333,1
2014,1.09823,0.758983333,2
2014,0.94625,0.606133333,3
