, Total expenditures, Mean expenditure,DEMOCRATS,REPUBLICANS
2018,886554685.00,12833433.00,15426274.00,10635921.00
2016,580219675.00,8659995.00,8825692.00,8489277.00
2014,589455572.00,8302191.00,9144410.00,7569365.00
2012,642583910.00,10199745.00,11822332.00,9257574.00
2010,654315300.00,9215708.00,8214157.00,9889235.00
2008,454095806.00,6880239.00,6843639.00,6919128.00
2006,641390929.00,9867552.00,10724206.00,8763122.00
2004,488541560.00,7184434.00,7477812.00,6891058.00
2002,392963316.00,6338118.00,6424668.00,6256977.00
2000,560821914.00,8497302.00,8888561.00,8106043.00
1998,383877318.00,5816324.00,5363727.00,6297206.00
1996,368770395.00,5673383.00,5418892.00,5920162.00
1994,473550544.00,6765007.00,5752026.00,7777988.00
1992,347794898.00,5040505.00,5035923.00,5045225.00
1990,333087157.00,4971450.00,4736422.00,5213600.00
1988,392040010.00,5940001.00,6219950.00,5660052.00
1986,420266259.00,6272630.00,5178887.00,7334205.00
1984,343096451.00,5624531.00,5221858.00,6040627.00
1982,296739202.00,4636541.00,4895621.00,4377464.00
1980,226007481.00,3373245.00,3567243.00,3173371.00
1978,249164040.00,3664179.00,2937917.00,4434453.00
1976,168178781.00,2628013.00,2515051.00,2721289.00
1974,144838864.00,2228292.00,2484457.00,1947444.00
